,SiteName,Site_years,Site_fullname,Lat.,Long.,ELV.,PFT,MAT,MAP,Clim.,Site_flag,Delay_status,Period,N,Calib.,Avai.analyzed.years-spring,Avai.site-years-spring,Avai.analyzed.years-springawinter,Avai.site-years-springawinter,Reference,PhenoCam,Cam_Period,Cam_Source,Cam_sitename,Cam_Avai
1,AT-Neu,10.9260274,Neustift,47.1167,11.3175,970,GRA,6.5,852,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AU-Rig,3.690410959,Riggs Creek,-36.6499,145.5759,NA,GRA,NA,NA,Cfa,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,BE-Bra,14.17534247,Brasschaat,51.3076,4.5198,16,MF,9.8,750,Cfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,CA-Gro,10.08767123,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,340,MF,1.3,831,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,CA-NS1,3.131506849,UCI-1850 burn site,55.8792,-98.4839,260,ENF,-2.89,500.29,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,CA-NS3,4.142465753,UCI-1964 burn site,55.9117,-98.3822,260,ENF,-2.87,502.22,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,CA-Oas,14.64109589,"Saskatchewan - Western Boreal, Mature Aspen",53.6289,-106.1978,530,DBF,0.34,428.53,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,CA-Obs,11.56712329,"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,628.94,ENF,0.79,405.6,Dfc,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,CA-TP1,8.191780822,Ontario - Turkey Point 2002 Plantation White Pine,42.6609,-80.5595,265,ENF,8,1036,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,CA-TP3,9.194520548,Ontario - Turkey Point 1974 Plantation White Pine,42.7068,-80.3483,184,ENF,8,1036,Dfb,Beyond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
